   287.000000       1.39999998    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
           4           3
          25          70          15
   IIN     XIN       REL SPACING 
        74     0.32773    -0.59462     0.26736    -0.62680
        75     0.33510    -0.60802     0.27438    -0.64052
        76     0.34252    -0.62145     0.28146    -0.65427
        77     0.34996    -0.63493     0.28860    -0.66805
        78     0.35744    -0.64843     0.29579    -0.68185
        79     0.36496    -0.66197     0.30303    -0.69567
        80     0.37250    -0.67553     0.31032    -0.70950
        81     0.38007    -0.68911     0.31767    -0.72335
        82     0.38767    -0.70270     0.32506    -0.73720
        83     0.39530    -0.71632     0.33250    -0.75106
        84     0.40295    -0.72994     0.33998    -0.76492
        85     0.41062    -0.74356     0.34751    -0.77877
        86     0.41831    -0.75720     0.35508    -0.79262
        87     0.42601    -0.77083     0.36269    -0.80645
        88     0.43373    -0.78445     0.37033    -0.82027
        89     0.44147    -0.79807     0.37801    -0.83406
        90     0.44921    -0.81168     0.38572    -0.84784
        91     0.45697    -0.82527     0.39347    -0.86159
        92     0.46473    -0.83884     0.40125    -0.87531
        93     0.47250    -0.85240     0.40905    -0.88899
        94     0.48028    -0.86591     0.41688    -0.90264
        95     0.48805    -0.87941     0.42473    -0.91625
        96     0.49583    -0.89289     0.43261    -0.92981
        97     0.50361    -0.90632     0.44051    -0.94333
        98     0.51138    -0.91972     0.44842    -0.95680
        99     0.51914    -0.93308     0.45635    -0.97021
       100     0.52690    -0.94640     0.46430    -0.98357
       101     0.53466    -0.95966     0.47226    -0.99686
       102     0.54240    -0.97288     0.48023    -1.01010
       103     0.55012    -0.98604     0.48820    -1.02331
       104     0.55784    -0.99915     0.49619    -1.03641
       105     0.56553    -1.01219     0.50417    -1.04943
       106     0.57321    -1.02518     0.51216    -1.06238
       107     0.58087    -1.03810     0.52015    -1.07526
       108     0.58851    -1.05095     0.52813    -1.08804
       109     0.59612    -1.06372     0.53612    -1.10075
       110     0.60371    -1.07643     0.54409    -1.11337
       111     0.61127    -1.08906     0.55206    -1.12590
       112     0.61880    -1.10161     0.56002    -1.13833
       113     0.62630    -1.11408     0.56797    -1.15068
       114     0.63377    -1.12647     0.57590    -1.16292
       115     0.64120    -1.13877     0.58381    -1.17507
       116     0.64860    -1.15098     0.59171    -1.18711
       117     0.65596    -1.16310     0.59958    -1.19905
       118     0.66329    -1.17513     0.60744    -1.21088
